g1 3 4 7
pins g1 0 0 0 3 3 0 3 4
g2 4 3 5
pins g2 0 1 0 2 4 0 4 3
g3 2 5 8
pins g3 0 3 0 5 2 0 2 4
g4 5 4 6
pins g4 0 1 0 4 5 0 5 2
g5 3 3 4
pins g5 0 0 0 3 3 0 3 3
g6 4 2 5
pins g6 0 1 0 2 4 0 4 2
g7 6 4 5
pins g7 0 1 0 2 6 0 6 4
g8 2 3 4
pins g8 0 0 0 3 2 0 2 3
g9 4 5 7
pins g9 0 1 0 4 4 0 4 5
g10 5 3 6
pins g10 0 1 0 4 5 0 5 3
wire_delay 3
wire g1.p4 g2.p1
wire g1.p3 g3.p2
wire g1.p2 g5.p1
wire g1.p1 g6.p2
wire g1.p3 g7.p2
wire g2.p4 g4.p1
wire g2.p3 g5.p2
wire g2.p2 g6.p1
wire g3.p3 g5.p1
wire g3.p2 g4.p3
wire g3.p4 g9.p2
wire g4.p2 g7.p1
wire g4.p3 g6.p3
wire g5.p3 g7.p1
wire g5.p2 g8.p1
wire g6.p4 g8.p2
wire g6.p3 g10.p1
wire g7.p2 g9.p1
wire g8.p4 g10.p1
wire g9.p3 g10.p2
wire g9.p4 g2.p1
